N,python time,numpy time,c time
1,1.00E-05,1.60E-05,0
2,0.000123978,7.08E-05,0
3,7.18E-05,1.10E-05,0.000001
4,0.000277042,2.62E-05,0.000001
5,0.000283718,7.87E-06,0.000001
6,0.00063777,1.79E-05,0.000001
7,0.00081706,1.72E-05,0.000002
8,0.001156092,1.57E-05,0.000004
9,0.003273964,2.60E-05,0.000005
10,0.00677681,3.29E-05,0.000007
11,0.002085924,1.57E-05,0.00001
12,0.003207207,2.41E-05,0.000013
13,0.006572962,3.60E-05,0.000016
14,0.010180712,8.01E-05,0.00002
15,0.008484125,3.19E-05,0.000023
16,0.006381989,2.00E-05,0.000028
17,0.009633064,3.10E-05,0.000033
18,0.010782957,3.60E-05,0.000043
19,0.018468142,3.91E-05,0.000047
20,0.019657135,3.36E-05,0.000055
21,0.014408112,3.08E-05,0.000063
22,0.016186953,2.81E-05,0.000072
23,0.027256966,4.29E-05,0.000083
24,0.021726847,5.01E-05,0.000094
25,0.028590918,3.67E-05,0.000105
26,0.075685263,4.72E-05,0.00012
27,0.12125206,3.60E-05,0.000134
28,0.099888086,5.08E-05,0.000149
29,0.070201159,3.93E-05,0.000164
30,0.043634892,3.91E-05,0.000182
31,0.043591022,3.39E-05,0.000216
32,0.052915812,5.20E-05,0.00024
33,0.053316832,4.51E-05,0.000273
34,0.055616856,4.20E-05,0.00028
35,0.065799952,4.72E-05,0.000303
36,0.074862719,3.89E-05,0.000331
37,0.07660079,4.63E-05,0.000361
38,0.084817886,4.39E-05,0.000387
39,0.099601746,4.91E-05,0.000419
40,0.106989861,5.60E-05,0.000451
41,0.109899998,4.91E-05,0.000458
42,0.122029066,5.20E-05,0.000431
43,0.132619143,5.77E-05,0.000456
44,0.135769129,5.41E-05,0.000536
45,0.141384125,5.41E-05,0.000701
46,0.161566257,6.60E-05,0.000555
47,0.183003902,6.08E-05,0.000591
48,0.214046955,5.60E-05,0.000609
49,0.207296133,5.70E-05,0.000612
50,0.228878975,6.20E-05,0.000848
51,0.25779295,0.000852108,0.000852
52,0.288514137,8.61E-05,0.000928
53,0.2740798,6.82E-05,0.000777
54,0.287986994,9.61E-05,0.000749
55,0.304635048,7.20E-05,0.000794
56,0.319882154,7.61E-05,0.000834
57,0.326686859,7.20E-05,0.00088
58,0.352437019,7.08E-05,0.000958
59,0.362469912,7.18E-05,0.001056
60,0.365421057,0.000115871,0.001309
61,0.41743207,8.11E-05,0.001248
62,0.42397213,7.80E-05,0.001335
63,0.451223612,8.51E-05,0.001635
64,0.45497489,0.000225782,0.001219
65,0.49568224,0.000230074,0.001341
66,0.538740873,0.00011611,0.001356
67,0.640849113,0.000384092,0.00145
68,0.813327074,0.000139952,0.001436
69,0.747469664,0.000126839,0.001499
70,0.734359026,0.000152826,0.001612
71,0.719771862,0.000115871,0.001698
72,0.759689093,0.000144958,0.001703
73,0.752485275,0.000142813,0.001789
74,0.81338501,0.000153065,0.00194
75,0.882833958,0.000126839,0.001918
76,0.88229394,0.000149012,0.002013
77,0.87921381,0.000175238,0.002136
78,0.975169182,0.000170946,0.002299
79,0.90948987,0.000156879,0.00225
80,0.948649883,0.000152111,0.002626
81,0.942053795,0.000130177,0.002422
82,0.997400761,0.000211,0.002586
83,1.157166958,0.000149965,0.002601
84,1.13937211,0.000142097,0.00346
85,1.09703207,0.00015521,0.003586
86,1.067171097,0.000159025,0.003118
87,1.324746132,0.000164747,0.004107
88,1.304857016,0.000159979,0.003097
89,1.272183895,0.000154257,0.003396
90,1.340968132,0.000640869,0.003353
91,1.47781086,0.000175714,0.005088
92,1.559104681,0.00019002,0.005715
93,1.483483076,0.000181913,0.004493
94,1.485548019,0.000189066,0.005839
95,1.509042025,0.000190973,0.005767
96,1.569816828,0.000158787,0.004126
97,1.56038785,0.000178814,0.007162
98,1.614591837,0.00018692,0.005783
99,1.699537277,0.000296831,0.004599
100,1.761746883,0.000253201,0.004633
